Genres,Audience Score,Director,Tomato-meter,Actors,Movie Title
"['Mystery & Suspense', 'Classics', 'Comedy']",94,W.S. Van Dyke,97,"[' William Powell', ' Myrna Loy', "" Maureen O'Sullivan"", ' Nat Pendleton', ' Minna Gombell', ' Porter Hall']",The Thin Man (1934)
"['Action & Adventure', 'Animation', 'Kids & Family', 'Comedy']",45,Christopher Reeve,41,"[' Jake T. Austin', ' Raven', ' Whoopi Goldberg', ' Rob Reiner', ' William H. Macy', ' Mandy Patinkin']",Everyone's Hero (2006)
"['Art House & International', 'Drama']",61,Abdel Kechiche,100,"[' Elina L\xc3\xb6wensohn', ' Olivier Gourmet', ' Jonathan Pienaar', ' Jean-Christophe Bouv...', ' Andre Jacobs', ' Yahima Torres']",Black Venus (Venus Noire) (2011)
"['Drama', 'Action & Adventure', 'Musical & Performing Arts', 'Art House & International', 'Comedy']",86,Aki Kaurismäki,100,"[' Matti Pellonp\xc3\xa4\xc3\xa4', ' Kari V\xc3\xa4\xc3\xa4n\xc3\xa4nen', ' Jim Jarmusch', ' Richard Boes', ' Silu Sepp\xc3\xa4l\xc3\xa4', ' Sakke J\xc3\xa4rvenp\xc3\xa4\xc3\xa4']",Leningrad Cowboys Go America (1989)
['Drama'],65,Nikolaj Coster-Waldau,74,"[' Juliette Binoche', ' Nikolaj Coster-Walda...', ' Lauryn Canny', ' Chlo\xc3\xab Annett', ' Denise McCormack', ' Maria Doyle Kennedy']","1,000 Times Good Night (2014)"
"['Horror', 'Art House & International', 'Mystery & Suspense', 'Comedy']",53,Kim Chapiron,53,"[' Vincent Cassel', ' Olivier Barth\xc3\xa9l\xc3\xa9my', ' Roxane Mesquida', ' Nico Le Phat Tan', ' Ladj Ly', ' Le\xc3\xafla Bekhti']",Sheitan (Satan) (2006)
"['Art House & International', 'Drama']",85,Chang-dong Lee,100,"[' Yun Junghee', ' David Lee', ' Lee David', ' Jeong-hie Yun', ' Kim Hara', ' An Naesang']",Poetry (2011)
['Drama'],75,Chris Terrio,64,"[' Glenn Close', ' Elizabeth Banks', ' Eric Bogosian', ' Jesse Bradford', ' Matthew Davis', ' Andrew Howard']",Heights (2005)
"['Drama', 'Action & Adventure', 'Art House & International', 'Mystery & Suspense', 'Comedy']",84,Woo-ping Yuen,86,"[' Jet Li', ' Michelle Yeoh', ' Chin Siu Ho', ' Fannie Yuen', ' Cheung-Yan Yuen', ' Lau Shun']",Twin Warriors (Tai ji zhang san feng) (The Tai-Chi Master) (1984)
"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",44,George A. Romero,53,"[' Lane Carroll', ' W.G. McMillan', ' Harold Wayne Jones', ' Ned Schmidtke', ' Lloyd Hollar', ' Richard Liberty']",The Crazies (1973)
