	Audience Score	Tomato-meter	Year	Genre	Director
1	45	41	2006	Action & Adventure	Christopher Reeve
9	44	53	1973	Action & Adventure	George A. Romero
13	61	75	1992	Action & Adventure	Andy Romano
18	50	8	2013	Action & Adventure	Andrew Niccol
25	80	62	2015	Action & Adventure	Juan José Campanella
29	78	55	1998	Action & Adventure	Stephen Norrington
49	84	96	1964	Action & Adventure	Terence Young
142	41	11	2010	Action & Adventure	Robert Luketic
201	27	33	2015	Action & Adventure	David Hackl
202	47	48	2014	Action & Adventure	Dave Green
203	47	0	1992	Action & Adventure	Peter Yates
204	54	67	1953	Action & Adventure	John Huston
211	33	8	1996	Action & Adventure	Rick Friedberg
244	35	36	2010	Action & Adventure	Adam Green
273	24	20	2014	Action & Adventure	Wing-cheong Law
292	96	97	1961	Action & Adventure	Akira Kurosawa
329	43	8	2015	Action & Adventure	Anne Fletcher
333	86	57	2007	Action & Adventure	Michael Bay
357	48	11	2008	Action & Adventure	Andy Tennant
365	78	58	2012	Action & Adventure	Bobs Gannaway
392	59	66	1971	Action & Adventure	Guy Hamilton
424	90	60	1984	Action & Adventure	Sam Firstenberg
448	60	64	2009	Action & Adventure	Terry Gilliam
462	17	40	1999	Action & Adventure	John Terlesky
463	31	14	1995	Action & Adventure	Robert Longo
474	49	29	1991	Action & Adventure	William Dear (II)
489	27	33	1989	Action & Adventure	Jim Wynorski
523	62	63	1978	Action & Adventure	Hal Needham
528	50	81	1985	Action & Adventure	George Miller
537	54	58	2010	Action & Adventure	Andrew Adamson
560	83	82	1983	Action & Adventure	Jackie Chan
564	81	85	1984	Action & Adventure	Steven Spielberg
622	42	43	2011	Action & Adventure	Jonathan English
641	47	57	1997	Action & Adventure	Louis Morneau
644	45	13	1991	Action & Adventure	Aaron Norris
657	38	60	1957	Action & Adventure	Josef von Sternberg
671	93	87	1980	Action & Adventure	John Landis
704	36	13	2013	Action & Adventure	Wayne Kramer
713	36	13	1994	Action & Adventure	Hervé Palud
715	46	38	2013	Action & Adventure	Jackie Chan
764	60	83	1963	Action & Adventure	Tony Richardson
765	56	31	1978	Action & Adventure	James Fargo
767	31	33	1980	Action & Adventure	Eric Karson
785	87	83	2007	Action & Adventure	Robert Rodriguez
786	33	33	2008	Action & Adventure	Daniel Myrick
793	79	8	2003	Action & Adventure	Casey La Scala
821	74	70	1982	Action & Adventure	John Milius
828	37	70	2007	Action & Adventure	Jim Mickle
830	39	67	2013	Action & Adventure	Richard Raaphorst
887	4	7	2013	Action & Adventure	David Jacobson
908	54	78	2008	Action & Adventure	Steven Spielberg
909	51	52	1997	Action & Adventure	Steven Spielberg
921	38	0	2002	Action & Adventure	Richard J. Lewis
936	39	15	1994	Action & Adventure	Charles T. Kanganis
939	38	60	1995	Action & Adventure	Roy Allen Smith
949	29	18	1985	Action & Adventure	Richard Fleischer
974	76	86	2002	Action & Adventure	Christopher Sanders
988	47	70	2003	Action & Adventure	Jonathan Mostow
1006	44	50	1977	Action & Adventure	Don Taylor
1007	78	70	2013	Action & Adventure	Chris Sanders
1015	63	74	2006	Action & Adventure	Gil Kenan
1021	56	64	1978	Action & Adventure	Guy Hamilton
1024	39	41	1997	Action & Adventure	Mimi Leder
1038	59	18	2014	Action & Adventure	Tim Story
1050	23	22	2000	Action & Adventure	P. J. Pesce
1067	42	41	2009	Action & Adventure	Yannick Dahan
1085	38	8	2013	Action & Adventure	Damian Lee
1086	72	72	2010	Action & Adventure	Jon Favreau
1094	61	39	2008	Action & Adventure	Mike Nawrocki
1097	47	44	1972	Action & Adventure	J. Lee Thompson
1107	71	55	1985	Action & Adventure	Walter Murch
1117	41	56	1997	Action & Adventure	Sam Weisman
1119	54	37	2010	Action & Adventure	Pierre Morel
1139	71	61	1977	Action & Adventure	Ralph Bakshi
1148	54	27	1997	Action & Adventure	Stuart Baird
1175	25	14	1989	Action & Adventure	George P. Cosmatos
1178	28	14	1993	Action & Adventure	John Badham
1221	29	20	1998	Action & Adventure	Jeff Woolnough
1234	52	15	2013	Action & Adventure	Tommy Wirkola
1262	72	88	1976	Action & Adventure	Arthur Hiller
1274	43	62	1979	Action & Adventure	Lewis Gilbert
1276	49	10	1984	Action & Adventure	Stewart Raffill
1283	88	97	1984	Action & Adventure	Ivan Reitman
1300	53	12	2008	Action & Adventure	David Hackl
1328	70	50	1995	Action & Adventure	Simon Wells
1329	67	40	2014	Action & Adventure	Jay Oliva
1340	69	72	2008	Action & Adventure	Timur Bekmambetov
1352	17	20	2001	Action & Adventure	Dick Maas
1356	37	19	1997	Action & Adventure	Mark Dippé
1357	38	58	2014	Action & Adventure	Joe Lynch
1360	29	33	1970	Action & Adventure	Jack Woods
1361	60	11	1998	Action & Adventure	Kevin Hooks
1371	52	58	1990	Action & Adventure	Phillip Noyce
1383	26	30	2013	Action & Adventure	Farren Blackburn
1400	56	42	1993	Action & Adventure	Luis Llosa
1413	74	33	1993	Action & Adventure	Richard Williams
1437	73	80	1935	Action & Adventure	Harold Young
1438	49	49	2012	Action & Adventure	David Palmer
1460	45	38	2009	Action & Adventure	Iain Softley
1461	69	83	2008	Action & Adventure	Yasuhiro Aoki
1470	72	16	2006	Action & Adventure	Len Wiseman
1503	29	2	2007	Action & Adventure	Aaron Seltzer
1550	40	22	2009	Action & Adventure	Hoyt Yeatman
1555	77	72	2013	Action & Adventure	Guillermo del Toro
1559	20	29	1994	Action & Adventure	Bradford May
1562	59	47	1989	Action & Adventure	Julian Doyle
1563	40	27	1994	Action & Adventure	Tad Stones
1568	9	14	2012	Action & Adventure	Maxim Korostyshevsky
1569	49	70	1972	Action & Adventure	Gordon Parks
1570	42	33	1995	Action & Adventure	David Salle
1578	60	64	2008	Action & Adventure	Rob Minkoff
1581	63	52	2003	Action & Adventure	Jonathan Kesselman
1588	83	90	2006	Action & Adventure	Richard Donner
1601	92	100	1928	Action & Adventure	Buster Keaton
1603	74	66	2007	Action & Adventure	Steve Anderson (V)
1605	34	13	2010	Action & Adventure	Eric Brevig
1613	56	46	2003	Action & Adventure	Patrick Gilmore (III)
1632	25	3	1997	Action & Adventure	John R. Leonetti
1643	36	33	1976	Action & Adventure	Kevin Connor
1645	66	75	1969	Action & Adventure	Robert Stevenson
1646	64	57	2012	Action & Adventure	Arnab Chaudhuri
1661	86	98	1935	Action & Adventure	Alfred Hitchcock
1671	79	53	1987	Action & Adventure	Fred Dekker
1679	74	88	2005	Action & Adventure	Mike Newell
1690	71	61	2006	Action & Adventure	Mark Neveldine
1710	54	33	2013	Action & Adventure	Callan Brunker
1711	43	31	2009	Action & Adventure	John Schultz
1754	44	43	1997	Action & Adventure	Sammo Kann-bo
1788	90	90	1992	Action & Adventure	Hal Hartley
1868	89	100	2014	Action & Adventure	Ken Ochiai
1877	78	68	2007	Action & Adventure	Wes Anderson
1880	63	71	1947	Action & Adventure	Jack Kinney
1882	23	15	2009	Action & Adventure	Harold Ramis
1883	54	50	1990	Action & Adventure	Richard Stanley
1889	31	21	2009	Action & Adventure	Benny Boom
1924	76	61	2014	Action & Adventure	Peter Jackson
1935	68	83	1976	Action & Adventure	John Sturges
1972	77	91	1981	Action & Adventure	Terry Gilliam
1983	47	29	1965	Action & Adventure	Norman Taurog
2002	25	21	1989	Action & Adventure	William Shatner
2011	58	41	1998	Action & Adventure	Che-Kirk Wong
2019	10	1	2005	Action & Adventure	Uwe Boll
2055	74	81	2011	Action & Adventure	Jennifer Yuh
2057	63	29	2006	Action & Adventure	Christophe Gans
2067	45	8	1996	Action & Adventure	Ernest Dickerson
2082	50	80	1968	Action & Adventure	Christian Marquand
2099	46	37	1993	Action & Adventure	John McTiernan
2101	48	36	2004	Action & Adventure	Donovan Cook
2109	32	17	2012	Action & Adventure	Brian Taylor
2112	38	41	2002	Action & Adventure	Chuck Russell
2120	62	81	2011	Action & Adventure	Hark Tsui
2121	73	70	2010	Action & Adventure	John Woo
2147	60	34	2007	Action & Adventure	Kevin Munroe
2164	57	73	1968	Action & Adventure	Roger Vadim
2180	58	78	2008	Action & Adventure	Mamoru Oshii
2192	58	19	2009	Action & Adventure	Michael Bay
2196	15	0	1987	Action & Adventure	Joseph Sargent
2210	35	28	1996	Action & Adventure	Ringo Lam
2211	77	24	2000	Action & Adventure	Dominic Sena
2248	91	82	2005	Action & Adventure	Joss Whedon
2250	47	11	2004	Action & Adventure	Dennie Gordon
2251	60	73	2006	Action & Adventure	Mike Judge
2267	39	26	1992	Action & Adventure	Barry Levinson
2303	50	56	2012	Action & Adventure	D. Kerry Prior
2305	57	100	1942	Action & Adventure	Richard Thorpe
2308	57	67	1977	Action & Adventure	Vincent McEveety
2326	43	31	1998	Action & Adventure	Stephen Sommers
2361	28	25	2014	Action & Adventure	David Hayter
2362	63	47	2001	Action & Adventure	Stephen Sommers
2384	34	66	2015	Action & Adventure	Jordan Rubin
2396	37	36	2012	Action & Adventure	Timo Vuorensola
2402	32	54	2001	Action & Adventure	Larry Guterman
2404	45	55	1998	Action & Adventure	Jonathan Frakes
2423	94	96	1956	Action & Adventure	Melvin Frank
2425	76	44	2004	Action & Adventure	Jon Turteltaub
2429	30	22	2002	Action & Adventure	Keith Donovan
2451	79	95	2005	Action & Adventure	Steve Box
2476	80	74	2006	Action & Adventure	John Lasseter
2514	42	74	2005	Action & Adventure	Steven Spielberg
2524	82	87	2008	Action & Adventure	Angelina Jolie
2534	38	28	1987	Action & Adventure	Elaine May
2546	23	33	1986	Action & Adventure	Harley Cokeliss
2550	83	83	1991	Action & Adventure	Nicholas Meyer
2556	87	100	1965	Action & Adventure	Sidney J. Furie
2561	29	22	1995	Action & Adventure	Frank Marshall
2568	62	26	2012	Action & Adventure	Björn Stein
2570	63	30	1997	Action & Adventure	Phillip Noyce
2628	26	33	1933	Action & Adventure	Ernest B. Schoedsack
2644	83	89	1979	Action & Adventure	Arthur Hiller
